country_name,iso_code,year,v2psbars_osp,v2exrescon_osp,v2exbribe_osp,v2lgotovst_osp,v2dlcountr_osp,v2juhcind_osp,v2jucorrdc_osp,v2jucomp_osp,v2clrspct_osp,v2clacjstw_osp,v2pepwrgen_osp,v2stcritrecadm_osp,v2cseeorgs_osp,v2csantimv_osp,v2csrlgcon_osp,v2mecenefi_osp,v2mebias_osp,v2mecorrpt_osp,v2pepwrort_osp,v2pepwrses_osp,v2pehealth_osp,v2cacamps_osp,v2caviol_osp,v2caautmob_osp,v2capolit_osp,v2cacritic_osp,v2smgovcapsec_osp,v2smpardom_osp,v2smfordom_osp,v2smpolsoc_osp,GDPPC
Papua New Guinea,PNG,2024,3.822,2.639,0.542,3.143,1.903,3.282,3.302,3.138,2.063,2.283,0.963,2.127,3.697,0.767,1.239,2.94,3.373,2.815,0.423,2.018,0.696,1.382,1.477,0.176,0.98,2.215,1.009,3.162,3.421,3.035,4288.52828988176
Qatar,QAT,2024,0.053,0.98,2.252,0.306,1.796,1.133,3.068,2.908,2.548,2.387,1.777,0.853,0.659,0.022,0.476,1.756,0.162,0.216,0.056,0.301,3.306,0.727,0.389,0.296,0.374,0.135,3.292,3.118,1.273,3.789,110889.792701691
Sierra Leone,SLE,2024,3.686,1.536,1.338,2.478,3.362,1.738,1.975,2.78,3.121,2.856,1.909,1.367,3.428,1.739,1.547,2.511,2.904,2.384,0.629,2.526,1.573,2.845,2.086,0.742,1.389,3.222,1.247,1.626,3.244,1.493,3098.76290609663
Spain,ESP,2024,3.889,3.038,3.186,2.789,2.416,2.913,3.236,3.623,3.319,3.82,2.625,2.744,3.772,1.591,1.296,2.964,2.82,3.05,2.53,2.624,3.466,2.457,0.365,0.593,1.684,2.745,3.357,2.892,2.859,0.331,48460.2914069661
Tunisia,TUN,2024,3.104,2.244,3.139,2.141,3.306,1.801,1.627,1.494,1.814,2.928,1.736,1.853,1.074,2.659,0.208,2.747,3.244,3.104,0.23,3.17,2.102,3.087,1.637,1.805,1.374,2.15,3.134,1.882,1.752,0.623,12774.9158568021
Türkiye,TUR,2024,2.927,0.681,1.21,0.136,1.11,1.883,1.56,0.724,0.81,1.829,1.229,1.145,1.222,1.893,1.647,1.67,1.564,1.035,0.337,1.974,2.686,3.978,2.519,2.622,1.294,1.591,2.576,1.648,2.568,0.613,36154.490436557
Ukraine,UKR,2024,3.143,2.398,1.671,2.578,2.525,1.409,1.652,1.243,2.118,2.45,2.595,0.939,2.439,0.547,1.095,2.012,1.992,1.625,2.371,0.866,2.608,3.62,2.37,0.283,1.182,0.244,2.76,2.173,1.014,1.854,16319.8447265625
United Kingdom,GBR,2024,3.949,3.27,3.607,2.951,3.233,3.443,3.265,3.549,3.004,2.98,2.59,3.074,3.239,0.88,1.455,2.608,3.569,3.728,2.533,2.507,3.232,2.049,0.649,0.253,2.01,2.753,2.846,3.038,2.187,1.242,52621.1790252979
Uruguay,URY,2024,3.872,2.892,3.621,2.631,2.879,3.189,3.681,3.552,2.703,3.302,2.219,2.89,3.374,0.848,1.01,2.948,3.677,3.86,1.88,2.816,3.63,0.975,0.07,0.033,2.022,3.579,2.605,2.932,3.638,2.085,32038.7727288227
Algeria,DZA,2024,2.562,1.161,1.59,1.242,1.189,0.352,1.687,1.354,1.344,2.482,1.651,1.87,0.852,1.773,0.566,1.231,1.954,1.645,0.313,3.066,2.101,0.988,0.749,2.082,1.713,1.37,2.403,1.24,1.205,0.99,15501.9197003966
Angola,AGO,2024,2.778,1.966,2.021,0.816,1.651,0.928,2.17,1.305,2.117,2.354,2.122,1.625,2.192,1.65,0.193,2.582,2.551,1.007,0.602,1.075,0.798,1.558,1.278,0.163,1.045,1.778,1.816,2.282,3.02,1.593,8901.88736611562
Armenia,ARM,2024,3.899,2.219,2.036,1.978,2.058,1.253,2.679,1.479,2.394,3.144,1.96,1.063,3.86,1.23,0.124,2.946,2.849,2.2,0.633,2.652,2.641,3.788,1.058,2.679,1.472,3.281,2.522,1.335,0.574,0.407,20078.7848984844
Azerbaijan,AZE,2024,1.554,0.836,0.443,0.491,0.945,0.104,0.339,0.113,1.187,1.484,1.407,1.26,0.159,0.445,0.182,2.006,0.673,0.692,0.053,0.473,1.368,3.44,1.079,1.742,0.766,0.223,2.767,0.682,1.796,0.582,22072.1491157176
Belarus,BLR,2024,1.535,0.157,1.502,0.189,0.225,0.024,2.833,0.361,0.956,0.897,1.891,0.317,0.033,0.311,0.023,0.874,0.097,0.297,0.473,2.458,2.862,3.966,1.14,2.051,0.452,0.93,2.83,0.688,0.244,0.063,29040.9725790425
Cameroon,CMR,2024,2.381,0.894,0.203,0.481,1.645,0.294,1.082,1.641,0.73,2.241,2.182,0.878,0.942,2.718,0.512,1.742,2.805,1.593,0.489,1.485,0.923,3.765,2.97,2.118,1.47,1.321,1.169,2.349,3.265,0.095,4916.93354019494
Chad,TCD,2024,2.319,0.332,0.103,0.381,1.664,0.088,1.286,0.112,0.131,1.342,1.107,1.174,1.399,3.108,1.167,1.899,2.767,0.98,2.012,0.423,0.755,3.698,3.829,2.015,1.501,0.885,1.684,1.108,1.246,0.412,2412.865855392
China,CHN,2024,1.02,2.517,1.353,2.303,0.313,0.206,1.517,0.233,1.544,1.854,1.017,1.9,0.064,0.162,0.109,0.873,0.138,0.237,0.136,1.639,1.049,2.205,1.336,0.233,0.569,1.084,3.861,0.195,1.939,2.899,23845.6197217259
Democratic Republic of the Congo,COD,2024,3.149,0.866,0.552,0.528,2.509,1.482,1.253,1.683,1.12,1.007,1.931,1.041,1.698,2.022,1.198,1.788,2.954,1.877,0.703,1.141,1.055,1.799,2.711,2.826,2.107,2.148,1.516,1.838,1.932,0.552,1602.074979895
Republic of the Congo,COG,2024,2.794,0.979,0.741,1.665,1.391,1.17,0.779,1.512,1.73,1.494,0.767,1.479,0.548,2.83,0.611,1.099,2.223,1.537,0.495,1.687,1.369,2.082,1.319,1.548,0.987,1.516,1.385,1.185,2.392,1.755,6181.47071635967
Djibouti,DJI,2024,2.305,1.121,1.069,0.5,1.355,1.816,1.739,0.968,2.046,2.204,2.556,1.609,1.918,1.861,1.085,0.875,1.862,2.269,0.27,1.417,1.629,2.615,1.238,1.091,0.709,0.383,1.765,1.571,2.397,1.88,6871.12440453129
Dominican Republic,DOM,2024,3.841,2.381,2.292,2.46,3.33,2.75,2.621,2.588,2.295,2.047,1.91,2.081,3.245,0.306,1.93,2.953,3.572,2.373,0.676,1.853,1.309,1.513,1.344,0.44,1.266,3.224,2.108,2.11,2.874,1.169,24229.8894872915
Gabon,GAB,2024,3.311,1.257,1.156,0.283,2.051,1.845,2.196,1.644,3.122,2.89,2.307,1.444,2.773,2.69,0.985,2.767,3.381,2.162,2.685,2.322,2.197,1.996,0.389,0.072,2.746,2.331,2.287,1.972,2.272,0.577,18923.6616611651
The Gambia,GMB,2024,3.359,2.44,2.442,2.385,3.031,3.041,2.865,3.096,2.528,3.149,2.083,2.54,3.407,0.677,1.448,2.724,3.415,3.187,0.094,2.2,1.711,1.598,0.616,0.136,2.025,2.709,1.493,2.49,3.427,3.022,3057.68417746891
Georgia,GEO,2024,3.328,1.997,2.098,2.399,2.722,0.762,3.094,2.712,2.032,2.396,2.037,1.332,2.688,2.09,1.426,2.893,2.661,3.175,0.899,2.406,3.233,3.597,2.065,1.432,1.351,3.779,2.241,1.31,0.676,0.283,24883.9081161639
Guinea-Bissau,GNB,2024,3.807,1.826,1.407,1.072,1.437,1.964,1.749,1.502,1.102,1.667,1.549,1.222,2.438,1.234,1.263,2.778,3.115,2.271,0.388,1.532,1.002,2.747,0.382,0.63,1.17,1.342,1.227,2.074,2.729,0.745,2744.27981043716
Jamaica,JAM,2024,3.677,2.814,1.624,3.201,3.052,3.268,3.175,3.187,3.453,3.143,3.021,2.459,3.732,0.119,0.945,2.969,3.217,3.264,1.459,2.834,2.667,1.776,1.228,0.125,1.291,3.501,1.95,3.176,3.653,2.218,11340.2638800451
Kazakhstan,KAZ,2024,2.37,1.619,0.89,1.193,1.361,0.424,1.386,1.38,1.507,1.668,1.836,1.852,1.225,1.015,0.33,1.292,1.409,1.094,0.201,1.498,2.796,2.059,1.201,1.303,1.164,0.937,2.781,1.024,1.891,2.062,35973.9633287017
Kyrgyzstan,KGZ,2024,2.831,1.524,1.135,1.325,1.418,1.32,1.401,2.289,2.359,2.348,1.698,1.767,1.212,0.868,0.406,1.901,2.338,2.279,0.147,2.035,2.153,1.959,0.206,0.324,0.683,0.27,1.445,2.367,1.98,1.394,7048.98952111264
Laos,LAO,2024,1.195,2.04,1.256,1.783,0.254,2.42,1.589,0.658,1.353,1.302,1.948,1.564,0.457,0.071,0.198,1.697,0.074,0.18,1.051,1.701,0.84,1.054,0.361,0.403,0.272,0.111,1.591,3.08,3.466,2.992,8600.32454665553
Libya,LBY,2024,3.117,1.089,0.714,1.76,2.892,2.11,1.277,1.181,0.375,0.819,1.218,0.347,2.733,2.446,0.859,2.634,2.854,2.771,0.086,1.689,0.554,3.86,3.9,2.715,1.995,1.292,0.69,1.182,2.34,0.367,12583.8338726816
Madagascar,MDG,2024,3.656,1.571,0.796,0.751,1.225,0.899,1.381,0.994,1.51,1.774,1.73,1.304,3.782,2.591,1.552,2.875,3.057,1.966,0.139,1.441,0.408,3.835,0.999,0.25,1.18,2.739,1.522,1.073,3.011,0.558,1657.04970622969
Moldova,MDA,2024,3.912,3.047,3.219,3.097,3.065,3.167,1.883,2.719,2.493,2.853,3.363,1.23,2.87,1.193,0.657,2.221,1.638,1.612,2.018,3.192,2.566,3.188,1.787,0.763,1.588,2.107,2.616,2.152,2.216,0.104,16376.6113704265
Namibia,NAM,2024,3.874,3.112,2.429,2.723,2.357,2.91,2.873,2.975,3.691,2.918,2.04,2.271,3.617,0.794,1.322,2.942,3.395,3.325,0.377,2.22,0.907,1.996,0.435,0.081,1.907,2.004,1.699,2.581,3.02,1.688,10281.3356402988
Rwanda,RWA,2024,2.272,0.875,1.786,1.837,2.474,0.661,2.856,1.342,1.947,2.209,2.441,1.75,0.753,0.233,0.927,1.791,0.644,2.148,0.695,1.292,2.024,0.961,2.245,2.363,0.336,0.588,2.449,2.928,2.717,3.523,3264.64451474392
Somalia,SOM,2024,3.278,0.997,1.067,1.549,3.49,0.756,0.801,1.383,1.605,2.103,0.392,0.934,2.167,1.35,1.84,2.582,2.876,1.026,0.064,2.088,0.381,3.023,3.768,1.464,0.837,1.93,1.404,1.775,1.928,0.592,1409.33492233283
Sri Lanka,LKA,2024,3.869,2.637,1.888,2.098,2.858,3.26,2.93,2.871,2.578,2.371,1.774,2.967,2.006,1.888,1.055,2.22,3.135,3.468,0.929,2.515,2.91,1.71,0.807,0.09,1.541,3.649,2.032,2.034,3.163,1.371,13752.836740386
Eswatini,SWZ,2024,0.129,0.481,1.611,1.32,2.001,1.525,3.145,2.449,1.108,1.732,0.99,1.632,0.315,2.136,0.378,0.764,0.376,0.857,0.27,1.956,1.011,3.539,1.274,0.326,1.276,1.467,1.887,1.533,3.215,0.832,10380.3966630516
Tajikistan,TJK,2024,1.368,1.143,0.372,0.233,0.259,0.347,1.111,0.565,0.491,0.665,0.581,1.132,0.376,0.357,0.018,0.955,0.494,0.406,0.134,0.438,1.114,1.068,1.526,2.3,0.543,0.19,1.724,0.422,1.138,2.566,4755.93296704719
